City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
39,Mahibadhoo,3.7833,72.9667,81.03,71,62,9.75,MV,2022-02-17 02:15:55
40,Kahului,20.8947,-156.47,80.62,69,40,18.41,US,2022-02-17 02:13:37
41,Hamilton,39.1834,-84.5333,62.55,55,100,20.71,US,2022-02-17 02:12:46
42,Ancud,-41.8697,-73.8203,51.22,76,0,6.89,CL,2022-02-17 02:13:31
43,Georgetown,5.4112,100.3354,82.33,84,20,1.99,MY,2022-02-17 02:11:34
44,East London,-33.0153,27.9116,67.14,72,1,15.43,ZA,2022-02-17 02:11:26
45,Lubango,-14.9172,13.4925,59.92,81,93,1.81,AO,2022-02-17 02:15:57
46,Mataura,-46.1927,168.8643,77.72,30,3,4.05,NZ,2022-02-17 02:11:48
47,Narsaq,60.9167,-46.05,-1.98,86,36,6.46,GL,2022-02-17 02:15:16
48,Mangan,27.5167,88.5333,54.03,53,26,3.47,IN,2022-02-17 02:15:57
49,Neuquen,-38.9516,-68.0591,71.49,53,0,6.91,AR,2022-02-17 02:15:58
50,Baykit,61.67,96.37,-5.53,98,100,1.97,RU,2022-02-17 02:13:55
51,Poretskoye,55.1974,46.3291,15.31,90,100,9.42,RU,2022-02-17 02:15:59
52,Nizwa,22.9333,57.5333,61.2,67,0,1.01,OM,2022-02-17 02:12:42
53,Hemsedal,60.8629,8.5534,23.94,96,100,4.09,NO,2022-02-17 02:16:00
54,Perth,-31.9333,115.8333,86.18,39,0,18.41,AU,2022-02-17 02:11:23
55,Albany,42.6001,-73.9662,43.61,73,99,1.01,US,2022-02-17 02:07:23
56,Isangel,-19.55,169.2667,84.96,71,55,5.23,VU,2022-02-17 02:07:47
57,Grindavik,63.8424,-22.4338,32.47,80,100,14.97,IS,2022-02-17 02:12:44
58,Kirkuk,35.4681,44.3922,47.91,56,0,7.16,IQ,2022-02-17 02:16:01
59,Bubaque,11.2833,-15.8333,78.03,68,18,5.5,GW,2022-02-17 02:11:44
60,San Patricio,28.017,-97.5169,69.19,85,5,22.26,US,2022-02-17 02:11:32
61,Walvis Bay,-22.9575,14.5053,67.15,82,23,9.22,NA,2022-02-17 02:16:02
62,Sexsmith,55.35,-118.786,6.58,85,75,5.75,CA,2022-02-17 02:16:02
63,Butaritari,3.0707,172.7902,82.24,75,0,22.73,KI,2022-02-17 02:12:48
64,Victoria,22.2855,114.1577,61.97,88,100,11.99,HK,2022-02-17 02:16:03
65,Ratanpur,22.3,82.1667,63.1,35,65,2.73,IN,2022-02-17 02:16:03
66,Havre-Saint-Pierre,50.2334,-63.5986,19.4,86,100,17.27,CA,2022-02-17 02:16:04
67,Hobart,-42.8794,147.3294,74.01,33,0,13.8,AU,2022-02-17 02:11:52
68,Avarua,-21.2078,-159.775,78.85,89,75,9.22,CK,2022-02-17 02:11:25
69,Ronne,55.1009,14.7066,42.71,87,20,28.77,DK,2022-02-17 02:16:05
70,Tatvan,38.5067,42.2817,22.35,94,94,5.7,TR,2022-02-17 02:11:56
71,Celestun,20.8667,-90.4,76.33,77,32,8.88,MX,2022-02-17 02:16:05
72,Mount Gambier,-37.8333,140.7667,70.03,47,46,11.01,AU,2022-02-17 02:16:06
73,Lagoa,39.05,-27.9833,61.63,76,100,19.48,PT,2022-02-17 02:13:42
74,Rock Springs,41.5875,-109.2029,27.05,75,100,18.41,US,2022-02-17 02:16:07
75,Asau,46.4333,26.4,36.52,92,10,6.42,RO,2022-02-17 02:16:07
76,Port Elizabeth,-33.918,25.5701,61.11,80,45,12.19,ZA,2022-02-17 02:11:36
77,Mutata,7.2441,-76.4356,73.99,97,100,1.97,CO,2022-02-17 02:16:08
78,Erdenet,49.0333,104.0833,0.34,85,100,8.34,MN,2022-02-17 02:16:08
79,Tenno,39.9,139.9667,33.01,86,100,1.7,JP,2022-02-17 02:16:09
80,Cabo San Lucas,22.8909,-109.9124,74.5,64,40,0.0,MX,2022-02-17 02:10:23
