City_ID,City,Max Temp,Lat,Lng,Country,Hotel Name
114,Avarua,78.85,-21.2078,-159.775,CK,Paradise Inn
118,Vao,79.03,-22.6667,167.4833,NC,Hotel Kou-Bugny
130,Poum,80.8,-20.2333,164.0167,NC,
132,Viamao,89.67,-30.0811,-51.0233,BR,OM B&B + Spa
134,Oshogbo,85.55,7.7667,4.5667,NG,Regina Suites Osogbo
137,Nhulunbuy,77.61,-12.2333,136.7667,AU,East Arnhem Real Estate
140,Cairns,78.06,-16.9167,145.7667,AU,Mantra Trilogy Cairns
148,Bontang,78.03,0.1333,117.5,ID,KOPKAR Hotel Bintang Sintuk
149,Arraial Do Cabo,82.26,-22.9661,-42.0278,BR,Pousada Porto Praia
154,Bambous Virieux,79.05,-20.3428,57.7575,MU,Casa Tia Villa
156,Sira,75.42,13.7453,76.9092,IN,Sri Venkateshwara Lodge
157,Pitimbu,86.59,-7.4706,-34.8086,BR,Reserva do Abiaí
159,Koumac,78.04,-20.5667,164.2833,NC,Le Monitel
162,San Andres,84.22,12.5847,-81.7006,CO,Hotel Arena Blanca
